weekday,user_type,quantity,ratio
Monday,Customer,2216,0.14048434132116142
Tuesday,Customer,2197,0.1392798275643464
Wednesday,Customer,1997,0.12660073538734626
Thursday,Customer,2729,0.17300621275516673
Friday,Customer,2418,0.15329022441993154
Saturday,Customer,2067,0.1310384176492963
Sunday,Customer,2150,0.13630024090275136
Monday,Subscriber,22619,0.14712597324036192
Tuesday,Subscriber,27563,0.17928437156479488
Wednesday,Subscriber,25590,0.16645093307488665
Thursday,Subscriber,29934,0.1947066131560632
Friday,Subscriber,24374,0.15854142410188696
Saturday,Subscriber,11864,0.07716974872999044
Sunday,Subscriber,11795,0.07672093613201594
